symbol,detected_at,signal_type,rank,total_score,score_slope,score_volume,score_rsi,score_hold,score_deviation,score_macd,score_weekly,entry_price,exit_price,return_pct,holding_days,rsi_value,volume_ratio,deviation_pct
3940.T,2025-06-10,GC,B,68,20,-15,15,25,0,8,15,137,141,2.9197,5,66.67,0.31,13.09
1579.T,2025-06-26,GC,B,73,20,10,-5,25,0,8,15,290,292.6,0.8966,5,72.66,1.16,14.62
148A.T,2025-06-08,GC,B,60,20,10,15,25,-15,-10,15,2062,2245,8.8749,5,53.03,1.47,23.86
6703.T,2025-06-16,GC,D,30,20,0,-5,25,-15,-10,15,1580,1566,-0.8861,5,77.83,0.86,42.86
9763.T,2025-06-25,GC,D,0,-20,-15,-15,25,-10,-10,15,1003.3,1001.7,-0.1595,5,32.53,0.42,-0.21
6273.T,2025-06-08,GC,D,25,20,0,15,0,10,-10,-10,52500,52070,-0.819,5,50.89,0.9,1.23
1811.T,2025-06-16,GC,D,0,-20,-15,-15,25,10,-10,15,4185,4200,0.3584,5,44.32,0.44,3.17
4040.T,2025-06-18,GC,C,55,20,20,-15,25,0,-10,15,3150,3195,1.4286,5,33.16,1.58,14.18
6262.T,2025-06-23,GC,D,5,-20,0,-15,25,10,-10,15,517,533,3.0948,5,38.33,0.93,1.94
6095.T,2025-06-22,GC,D,20,20,0,-15,25,-15,-10,15,705,780,10.6383,5,44.93,0.74,30.97
2747.T,2025-06-19,GC,D,28,0,10,-5,15,10,8,-10,3050,3030,-0.6557,4,73.68,1.11,1.46
4832.T,2025-06-18,GC,B,75,20,10,5,25,10,-10,15,1762,1725,-2.0999,5,49.28,1.11,5.97
3796.T,2025-06-11,GC,C,53,0,10,-15,25,10,8,15,247,246.5,-0.2024,5,42.59,1.23,1.84
6809.T,2025-06-05,GC,B,75,20,0,15,25,10,-10,15,1004,989,-1.494,5,50,0.87,5.45
5352.T,2025-06-30,GC,C,48,20,0,-5,25,-15,8,15,3320,3310,-0.3012,5,80.43,0.75,23.47
6758.T,2025-06-03,GC,A,93,20,0,15,25,10,8,15,3834,3800,-0.8868,5,52.3,0.82,6.01
7313.T,2025-06-30,GC,C,40,10,-15,15,15,10,-10,15,1691.5,1692,0.0296,5,58.31,0.7,3.02
155A.T,2025-06-10,GC,C,53,20,-15,15,25,-15,8,15,510,494,-3.1373,5,68.6,0.7,17.28
6381.T,2025-06-03,GC,C,45,20,10,-15,25,0,-10,15,1402,1398,-0.2853,5,30.49,1.14,14.26
9706.T,2025-06-18,GC,D,5,-20,0,-15,25,10,-10,15,4336,4434,2.2601,5,36.02,0.73,2.2
8938.T,2025-06-17,GC,A,85,10,20,15,25,10,-10,15,700,675,-3.5714,5,60.19,6.16,3.96
6101.T,2025-06-23,GC,D,10,-20,-15,5,25,10,-10,15,1809,1858,2.7087,5,46,0.61,0.7
2385.T,2025-06-17,GC,D,35,20,-15,15,25,-15,-10,15,166,172,3.6145,5,61.54,0.59,15.6
2335.T,2025-06-12,GC,A,93,20,0,15,25,10,8,15,1096,1112,1.4599,5,68.53,0.78,7.19
2562.T,2025-06-17,GC,C,50,10,-15,15,25,10,-10,15,3086,3128,1.361,5,50.9,0.2,1.59
7378.T,2025-06-26,GC,C,50,20,-15,15,25,0,-10,15,1993,1800,-9.6839,5,51.05,0.32,11.25
8386.T,2025-06-15,GC,B,65,20,0,15,25,0,-10,15,1013.8,1036.3,2.2194,5,64.52,0.85,14.87
4958.T,2025-06-23,GC,B,65,10,0,15,25,10,-10,15,2934,2940,0.2045,5,51.31,0.77,2.52
7081.T,2025-06-05,GC,B,68,10,-15,15,25,10,8,15,1083,1108,2.3084,5,54.86,0.56,3.01
