key,label,category,n,pearson_r,ic_mean,ic_std,icir,sharpe_q1,sharpe_q4,q_spread,monotone,win_q4
volatility_20,日次リターン標準偏差(20),ボラティリティ,81506,-0.0186,-0.0739,0.0724,-1.021,0.238,0.048,-0.19,FALSE,45.6
atr_ratio_14,ATR比率(14),ボラティリティ,81506,-0.0505,-0.0814,0.0821,-0.992,0.258,0.045,-0.213,FALSE,45
dist_52w_high,52週高値乖離,トレンド,81506,0.049,0.0746,0.0766,0.974,0.043,0.196,0.153,FALSE,59
bb_width_20,BB幅(20),ボラティリティ,81506,-0.063,-0.0582,0.0621,-0.938,0.237,0.063,-0.175,FALSE,47.8
pullback_depth_20,押し目深度(20日),パターン,81506,0.0484,0.0596,0.07,0.851,0.049,0.188,0.138,FALSE,59.2
volume_accel,出来高加速度,出来高,81506,0.0051,0.0215,0.0288,0.747,0.11,0.137,0.028,FALSE,55.2
money_flow_ratio,マネーフロー比率,出来高,81506,0.0062,0.0186,0.0305,0.61,0.117,0.128,0.012,FALSE,54.5
di_minus_14,-DI(14),トレンド,81506,-0.0163,0.0338,0.0634,0.534,0.115,0.132,0.017,FALSE,56.3
adx_14,ADX(14),トレンド,81506,-0.0019,-0.0278,0.0531,-0.524,0.173,0.112,-0.061,FALSE,54
sma_dev_50,SMA50乖離率,トレンド,81506,-0.0381,-0.0299,0.0659,-0.454,0.096,0.098,0.002,FALSE,50.7
gap_pct,寄り付きギャップ,パターン,81506,-0.0017,-0.0188,0.0413,-0.454,0.133,0.105,-0.028,FALSE,52.8
obv_slope_20,OBV傾き(20),出来高,81506,0.0117,-0.0256,0.0589,-0.435,0.143,0.137,-0.007,FALSE,56.4
sma_dev_75,SMA75乖離率,トレンド,81506,-0.0412,-0.0307,0.0742,-0.414,0.093,0.093,0,FALSE,50.3
roc_20,ROC(20日),モメンタム,81506,-0.0285,-0.0194,0.0661,-0.293,0.096,0.098,0.002,FALSE,51.2
consec_candles,連続陽線/陰線数,モメンタム,81506,0.0051,-0.0111,0.0433,-0.257,0.142,0.158,0.016,FALSE,57.1
body_ratio,ローソク実体比率,パターン,80416,-0.0063,0.0032,0.0143,0.222,0.145,0.135,-0.01,FALSE,56.4
sma_dev_25,SMA25乖離率,トレンド,81506,-0.0296,-0.0135,0.0613,-0.22,0.094,0.105,0.011,FALSE,51.7
stoch_k_14,ストキャスティクス%K,モメンタム,81506,0.0256,0.0118,0.0659,0.179,0.108,0.17,0.063,FALSE,57.9
williams_r_14,Williams %R,モメンタム,81506,0.0256,0.0118,0.0659,0.179,0.108,0.17,0.063,FALSE,57.9
di_plus_14,+DI(14),トレンド,81506,0.0076,-0.0114,0.0658,-0.173,0.137,0.125,-0.013,FALSE,55.9
sma_dev_200,SMA200乖離率,トレンド,41367,-0.0146,0.0152,0.0906,0.167,-0.023,0.089,0.113,FALSE,49.8
vol_mom_interact,出来高×モメンタム交互作用,交互作用,81506,-0.0473,-0.0064,0.0533,-0.121,0.108,0.132,0.024,FALSE,53.8
tsi_value,TSI,モメンタム,81506,0.0119,0.0068,0.0614,0.111,0.103,0.104,0.001,FALSE,54.9
roc_3,ROC(3日),モメンタム,81506,-0.0067,-0.0065,0.0624,-0.104,0.108,0.128,0.02,FALSE,52.9
roc_5,ROC(5日),モメンタム,81506,-0.0112,-0.0052,0.054,-0.096,0.105,0.124,0.02,FALSE,52.9
dist_52w_low,52週安値乖離,トレンド,81506,-0.0178,-0.0082,0.0887,-0.092,0.124,0.079,-0.045,FALSE,50.5
tsi_signal,TSIシグナル,モメンタム,81506,0.0073,0.0056,0.0623,0.089,0.115,0.112,-0.002,FALSE,55.1
sma_dev_10,SMA10乖離率,トレンド,81506,-0.0143,-0.0044,0.0609,-0.072,0.101,0.122,0.021,FALSE,52.8
roc_10,ROC(10日),モメンタム,81506,-0.0263,-0.0029,0.0515,-0.056,0.099,0.114,0.015,FALSE,52.1
